id,id_user,stat_sus,update_time,longitude,latitude,longitude_user,latitude_user,mean_vertical,std_dev_vertical,mean_horizontal,std_dev_horizontal,accuracy
55,User_2,-2,1641334654152,19.902285,50.060696,19.90229,50.06068,-43.37116,0.19039,18.30396,0.30420,
56,User_2,-2,1641334698406,19.902000,50.060696,19.90198,50.06071,-40.50732,0.44711,17.03252,0.31384,
57,User_2,-2,1641334729947,19.901714,50.060696,19.90172,50.06071,-41.42383,0.20261,16.99558,0.26238,
58,User_2,-2,1641334761138,19.901430,50.060696,19.90139,50.06070,-41.88057,0.31549,16.21813,0.18914,
59,User_2,-2,1641334786445,19.901146,50.060696,19.90114,50.06071,-41.14021,0.29229,15.72116,0.33395,
60,User_2,-2,1641334998014,19.903994,50.060509,19.90400,50.06050,-42.19261,0.69566,20.25467,0.26051,
61,User_2,-2,1641335038642,19.903708,50.060509,19.90371,50.06051,-43.33621,0.33525,17.51064,0.23258,
62,User_2,-2,1641335111435,19.903423,50.060509,19.90342,50.06050,-43.62084,0.53546,19.98648,0.24153,
63,User_2,-2,1641335148456,19.903139,50.060509,19.90314,50.06052,-42.54283,0.25163,16.86419,0.46940,
64,User_2,-2,1641335186999,19.902855,50.060509,19.90287,50.06052,-42.63569,0.62341,16.24490,0.40781,
65,User_2,-2,1641335236086,19.902569,50.060509,19.90259,50.06050,-46.50801,0.31864,18.16855,0.34603,
66,User_2,-2,1641335262241,19.902285,50.060509,19.90227,50.06050,-44.11207,0.19278,17.18759,0.39249,
67,User_2,-2,1641335311205,19.902000,50.060509,19.90199,50.06050,-43.69646,0.34278,16.63830,0.19198,
68,User_2,-2,1641335340919,19.901714,50.060509,19.90172,50.06051,-43.21479,0.59050,17.36528,0.39382,
69,User_2,-2,1641335372138,19.901430,50.060509,19.90144,50.06052,-41.65268,0.25763,17.55553,0.27300,
70,User_2,-2,1641335412432,19.901146,50.060509,19.90114,50.06053,-43.71019,0.65449,17.36873,0.85572,
71,User_2,-2,1641335643239,19.904278,50.060322,19.90429,50.06031,-42.86879,0.47277,21.97397,0.26741,
72,User_2,-2,1641335671959,19.903994,50.060322,19.90401,50.06031,-44.16014,0.70872,17.06269,0.58551,
73,User_2,-2,1641335943210,19.903708,50.060322,19.90372,50.06034,-37.95355,1.09435,16.34055,0.52932,
74,User_2,-2,1641335983448,19.903423,50.060322,19.90343,50.06033,-42.73321,0.23635,17.64727,0.23960,
75,User_2,-2,1641336032604,19.903139,50.060322,19.90314,50.06032,-38.93014,0.39273,19.62215,0.31869,
76,User_2,-2,1641336077740,19.902855,50.060322,19.90285,50.06033,-42.92086,0.44514,17.87946,0.33815,
77,User_2,-2,1641336108701,19.902569,50.060322,19.90253,50.06032,-46.07807,0.45405,17.38511,0.42295,
78,User_2,-2,1641336150113,19.902285,50.060322,19.90250,50.06029,-47.45021,0.40519,23.43702,0.35898,
79,User_2,-2,1641336217604,19.902000,50.060322,19.90197,50.06032,-44.45257,0.28200,23.36280,0.25241,
80,User_2,-2,1641336259934,19.901714,50.060322,19.90172,50.06031,-43.92576,0.20150,15.81114,0.29089,
81,User_2,-2,1641336359239,19.901430,50.060322,19.90140,50.06033,-43.61604,0.22724,20.71938,0.25844,
82,User_2,-2,1641336387656,19.901146,50.060322,19.90116,50.06030,-47.24935,0.26091,20.98300,0.40408,
83,User_2,-2,1641336657214,19.904278,50.060135,19.90430,50.06012,-45.42195,0.49483,18.91317,0.25576,
84,User_2,-2,1641336713565,19.903994,50.060135,19.90402,50.06014,-47.51324,0.44187,18.51923,0.37038,
85,User_2,-2,1641336742056,19.903708,50.060135,19.90371,50.06013,-48.30907,0.48182,18.43340,0.52255,
86,User_2,-2,1641336768082,19.903423,50.060135,19.90340,50.06011,-49.31784,0.50034,19.65165,0.67096,
87,User_2,-2,1641336792519,19.903139,50.060135,19.90316,50.06012,-45.43328,0.18352,17.04575,0.29221,
88,User_2,-2,1641336832898,19.902855,50.060135,19.90285,50.06012,-44.51958,0.49227,16.51022,0.39649,
89,User_2,-2,1641336856327,19.902569,50.060135,19.90256,50.06013,-42.77114,0.26214,14.46190,0.46716,
90,User_2,-2,1641336878641,19.902285,50.060135,19.90231,50.06013,-42.56118,0.25968,14.38709,0.31866,
91,User_2,-3,0,19.902000,50.060135,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
92,User_2,-2,1641336970540,19.901714,50.060135,19.90174,50.06011,-45.88099,1.43415,16.21957,0.56503,
93,User_2,-2,1641337011761,19.901430,50.060135,19.90145,50.06012,-44.87865,0.21025,15.37608,0.24137,
94,User_2,-3,0,19.904562,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
95,User_2,-3,0,19.904278,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
96,User_2,-3,0,19.903994,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
97,User_2,-3,0,19.903708,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
98,uhhh,-3,1641558282181,19.903423,50.059952,19.91768,50.05918,5.89866,0.00063,48.40022,0.00008,20.00
99,Tomek²,-3,0,19.903139,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
100,Tomek²,-3,0,19.902855,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
101,Tomek²,-3,0,19.902569,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
102,Tomek²,-3,0,19.902285,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
103,Tomek²,-3,0,19.902000,50.059952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
104,tomek,-2,1641564920202,19.901714,50.059952,19.91543,50.06583,-45.95697,0.47868,7.26262,0.61665,51.46
105,tomek,-2,1641564932413,19.904846,50.059765,19.91543,50.06583,-45.89429,0.56375,7.17633,0.48569,51.46
106,User_2,-3,0,19.904562,50.059765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
107,User_2,-3,0,19.904278,50.059765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
108,User_2,-3,0,19.903994,50.059765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
109,User_2,-3,0,19.903708,50.059765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
110,User_2,-3,0,19.903423,50.059765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
111,AdamNaFonieJacka,-2,1642091718227,19.903139,50.059765,19.90313,50.05978,-44.16090,0.15927,19.09789,0.14310,3.22
112,AdamNaFonieJacka,-2,1642091780788,19.902855,50.059765,19.90287,50.05976,-43.36029,0.36788,19.17365,0.20321,9.65
113,AdamNaFonieJacka,-2,1642091808391,19.902569,50.059765,19.90255,50.05977,-43.31178,0.28217,18.42734,0.25219,10.72
114,AdamNaFonieJacka,-2,1642091853225,19.902285,50.059765,19.90227,50.05978,-43.17799,0.26823,19.28036,0.30240,9.65
115,AdamNaFonieJacka,1,0,19.902000,50.059765,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
116,AdamNaFonieJacka,-2,1642092057552,19.904846,50.059578,19.90485,50.05957,-43.38517,0.22337,20.82259,0.41562,9.65
117,AdamNaFonieJacka,-2,1642092092176,19.904562,50.059578,19.90454,50.05957,-43.03705,0.25279,19.29462,0.37481,9.65
118,AdamNaFonieJacka,-2,1642092127180,19.904278,50.059578,19.90428,50.05957,-43.08903,0.32678,19.68853,0.21896,9.65
119,AdamNaFonieJacka,-2,1642092172555,19.903994,50.059578,19.90400,50.05956,-43.08806,0.32190,19.84757,0.46301,9.65
120,AdamNaFonieJacka,-2,1642092257769,19.903708,50.059578,19.90370,50.05958,-43.16731,0.13110,20.84277,0.22593,9.65
121,AdamNaFonieJacka,-2,1642092330388,19.903423,50.059578,19.90343,50.05958,-43.44848,0.20332,19.48566,0.34221,9.65
122,AdamNaFonieJacka,-2,1642092382893,19.903139,50.059578,19.90315,50.05957,-43.01271,0.24303,19.37978,0.27104,9.65
123,AdamNaFonieJacka,-2,1642092424129,19.902855,50.059578,19.90284,50.05957,-43.07192,0.30600,20.13091,0.27443,9.65
124,AdamNaFonieJacka,1,0,19.902569,50.059578,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
125,AdamNaFonieJacka,-2,1642092642697,19.905130,50.059391,19.90513,50.05939,-44.36054,0.20260,19.05730,0.33326,9.65
126,AdamNaFonieJacka,-2,1642092690942,19.904846,50.059391,19.90485,50.05939,-43.76513,0.28688,18.90189,0.28487,10.72
127,AdamNaFonieJacka,-2,1642092728314,19.904562,50.059391,19.90458,50.05939,-43.51900,0.39866,19.15444,0.48867,9.65
128,AdamNaFonieJacka,-2,1642092760958,19.904278,50.059391,19.90428,50.05940,-43.29578,0.27916,19.34819,0.20594,9.65
129,AdamNaFonieJacka,-2,1642092856519,19.903994,50.059391,19.90402,50.05938,-43.26717,0.19632,19.38886,0.25169,9.65
130,AdamNaFonieJacka,-2,1642092890874,19.903708,50.059391,19.90370,50.05942,-43.25119,0.17290,18.89917,0.31553,9.65
131,AdamNaFonieJacka,-2,1642092936339,19.903423,50.059391,19.90345,50.05940,-44.13443,0.29012,18.80474,0.33683,10.72
132,AdamNaFonieJacka,1,0,19.903139,50.059391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
133,AdamNaFonieJacka,1,0,19.902855,50.059391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
134,AdamNaFonieJacka,-2,1642093147511,19.905130,50.059204,19.90513,50.05920,-43.70411,0.17491,18.65150,0.23712,9.65
135,AdamNaFonieJacka,-2,1642093195578,19.904846,50.059204,19.90483,50.05920,-43.24543,0.47132,19.59897,0.47038,9.65
136,AdamNaFonieJacka,-2,1642093259490,19.904562,50.059204,19.90455,50.05919,-43.25060,0.32737,19.72215,0.25692,9.65
137,AdamNaFonieJacka,-2,1642093342571,19.904278,50.059204,19.90428,50.05920,-43.14177,0.13637,19.59159,0.18401,9.65
138,AdamNaFonieJacka,-2,1642093417952,19.903994,50.059204,19.90399,50.05921,-43.07991,0.35822,19.32180,0.19975,10.72
139,AdamNaFonieJacka,-2,1642093451455,19.903708,50.059204,19.90370,50.05921,-43.74730,0.36827,18.42659,0.84971,9.65
140,AdamNaFonieJacka,1,0,19.903423,50.059204,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
141,AdamNaFonieJacka,1,0,19.903139,50.059204,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
142,AdamNaFonieJacka,-2,1642093644072,19.905416,50.059017,19.90543,50.05904,-43.42554,0.24765,19.34865,0.28429,10.72
143,AdamNaFonieJacka,-2,1642093674631,19.905130,50.059017,19.90515,50.05903,-43.09366,0.35578,19.45969,0.31330,9.65
144,AdamNaFonieJacka,-2,1642093714836,19.904846,50.059017,19.90485,50.05901,-43.05331,0.39940,20.20619,0.27945,9.65
145,AdamNaFonieJacka,-2,1642093747736,19.904562,50.059017,19.90455,50.05901,-43.14825,0.26445,19.50651,0.20814,9.65
146,AdamNaFonieJacka,-2,1642093786428,19.904278,50.059017,19.90428,50.05902,-42.41660,0.25387,19.28113,0.22479,9.65
147,AdamNaFonieJacka,-2,1642093917921,19.903994,50.059017,19.90396,50.05904,-43.65413,0.22165,19.82523,0.34360,10.72
148,AdamNaFonieJacka,1,0,19.903708,50.059017,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
149,AdamNaFonieJacka,1,0,19.903423,50.059017,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
150,AdamNaFonieJacka,-2,1642094064922,19.905416,50.058834,19.90540,50.05883,-43.98824,0.18282,19.08695,0.20325,9.65
151,AdamNaFonieJacka,-2,1642094097359,19.905130,50.058834,19.90512,50.05883,-42.73085,0.25892,20.25096,0.17048,9.65
152,AdamNaFonieJacka,-2,1642094141797,19.904846,50.058834,19.90487,50.05885,-43.09290,0.23573,20.19399,0.31106,9.65
153,AdamNaFonieJacka,-2,1642094274781,19.904562,50.058834,19.90452,50.05882,-44.19872,0.27513,20.32820,0.36314,9.65
154,AdamNaFonieJacka,-2,1642094309606,19.904278,50.058834,19.90427,50.05883,-43.25342,0.24749,20.36909,0.30605,9.65
155,AdamNaFonieJacka,1,0,19.903994,50.058834,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
156,AdamNaFonieJacka,-2,1642094499043,19.905701,50.058647,19.90570,50.05864,-42.28331,0.38596,19.02686,0.35181,9.65
157,AdamNaFonieJacka,-2,1642094529629,19.905416,50.058647,19.90540,50.05865,-43.13041,0.18886,20.31169,0.21366,9.65
158,AdamNaFonieJacka,-2,1642094562079,19.905130,50.058647,19.90514,50.05865,-43.01118,0.18906,20.43258,0.29010,9.65
159,AdamNaFonieJacka,-2,1642094588858,19.904846,50.058647,19.90484,50.05866,-42.67699,0.19825,20.24201,0.28549,9.65
160,AdamNaFonieJacka,-2,1642094645813,19.904562,50.058647,19.90460,50.05865,-42.82503,0.23105,20.50791,0.40250,9.65
161,AdamNaFonieJacka,-2,1642094667582,19.904278,50.058647,19.90430,50.05865,-41.77583,0.25281,20.56643,0.34526,9.65
162,AdamNaFonieJacka,1,0,19.905701,50.058460,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
163,AdamNaFonieJacka,-2,1642094754863,19.905416,50.058460,19.90539,50.05848,-41.20422,0.16526,20.90404,0.23250,9.65
164,AdamNaFonieJacka,-2,1642094790184,19.905130,50.058460,19.90513,50.05848,-42.49871,0.28999,20.92572,0.22254,9.65
165,AdamNaFonieJacka,-2,1642094815740,19.904846,50.058460,19.90486,50.05845,-42.54201,0.30085,20.13361,0.27954,9.65
166,AdamNaFonieJacka,-2,1642094848423,19.904562,50.058460,19.90456,50.05846,-43.42365,0.35700,19.59227,0.27486,9.65
167,AdamNaFonieJacka,1,0,19.905987,50.058273,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
168,AdamNaFonieJacka,1,0,19.905701,50.058273,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
169,AdamNaFonieJacka,-2,1642094971566,19.905416,50.058273,19.90541,50.05824,-40.89755,0.22809,19.74190,0.26233,9.65
170,AdamNaFonieJacka,-2,1642094993057,19.905130,50.058273,19.90514,50.05825,-42.97177,0.19860,18.89811,0.36481,11.79
171,AdamNaFonieJacka,1,0,19.904846,50.058273,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
172,AdamNaFonieJacka,1,0,19.905987,50.058090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
173,AdamNaFonieJacka,1,0,19.905701,50.058090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
174,AdamNaFonieJacka,-2,1642095115106,19.905416,50.058090,19.90541,50.05809,-43.03379,0.22205,18.84003,0.17642,10.72
175,AdamNaFonieJacka,1,0,19.905130,50.058090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
176,AdamNaFonieJacka,1,0,19.906269,50.057903,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
177,AdamNaFonieJacka,1,0,19.905987,50.057903,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00
